Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
Uhrwerk aus Stille	Volker-Wilhelm Tamm	Regie		Potsdam			1994	35mm	1572m	Spielfilm ; Wende		DE-Po75
Die Stimme war leiser als sonst		Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; lichtbild Arbeits gemeinschaft Griebnitzsee	1998	Betacam SP		Spielfilm ; Milieufilm ; Krankheit	nonverbal . nonverbal . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Schatten über Pößneck	Thorsten Schneider	Regie		Potsdam			[1988]	U-matic		Spielfilm		DE-Po75
Stunden voller Melancholie – Dresden	Nadja Schürer		Hauptprüfungsfilm	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1986	16mm	240m	Dokumentarfilm		DE-Po75
<<Ein>> Pfad durch die Zeitungspaläste				Potsdam			1990	U-matic		Dokumentarfilm ; Film- und Fernsehregie ; Ausländer		DE-Po75
<<Die>> Tiefe Stufe	Tariq Abbas	Idee	Lichtübung	Potsdam		Film gruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	1994	16mm	185m	Animationsfilm		DE-Po75
Wo sich die Herzen im Schweigen treffen	Hung Pham	Regie		Potsdam			1993/94	35mm	60m			DE-Po75
Die Dinge, die wir verschweigen	Alexandra Bieber			Potsdam			1997	16mm	133m	Spielfilm		DE-Po75
Verbot für politische Lieder	Wolfhard Yildirim	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Atelier für Dokumentar-Film Babelsberg	1998	16mm	65m	Spielfilm		DE-Po75
Im Zwielicht der Nacht – Cottbus		Regie	Kameraübung	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1989	35mm	1953m	Landschaft		DE-Po75
Aussprache ausgesetzt	Yvonne Zink	Regie		Potsdam			[1989]			Dokumentarfilm		DE-Po75
Einmal nach links geschaut	Thorsten Schneider	Kamera		Potsdam		Filmgruppe Berlin-Mitte	1989	16mm		Animationsfilm		DE-Po75
Flurzeit auf 7 Minuten begrenzt	Patrick-Stefan Krauß	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; lichtbild Arbeits gemeinschaft Griebnitzsee	1991/92	35mm	591m	Dokumentarfilm		DE-Po75
Ich trug die Proben in die Ecke	Le Van Khoa	Kameraübung	Kameraübung	Potsdam		Kollektiv Bild &Ton "Potsdam"	1995	16mm	24m	Dokumentarfilm ; Spielfilm		DE-Po75
<<Die>> Brücke der Stille	Bertram Cremer	Regie		Potsdam			1994	35mm	1795m			DE-Po75
<<Die>> Karte der Sterne	Ottmar Schade	Regie	Hauptprüfungsfilm	Potsdam			1987	35mm	45m			DE-Po75
Die Luft war nicht zuständig	Lothar Kessel	Regie		Potsdam			1998	16mm	2020m			DE-Po75
Der Blick zurück – 2000 (Berlin)	Stephan Schneider	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1995	Betacam				DE-Po75
<<Der>> Löffel war nicht aus Aluminium	Bärbel Degenhardt	Kamera		Potsdam			1993	35mm	90m	Dokumentarfilm		DE-Po75
Bauernaufstand am Morgen	Jürgen Uhlig	Kameraübung	Kameraübung	Potsdam			[1988]	16mm				DE-Po75
<<Die>> Reise nach Nirgendwo	Udo-Ulrich Xylander	Kamera		Potsdam			1989	16mm	43m			DE-Po75
Kante im Licht	Xenia Abendroth	Regie		Potsdam			1993	16mm	160m	Dokumentarfilm ; Adaption		DE-Po75
Der Strom fiel in jener Nacht		Regie	F1	Potsdam			1993	Betacam SP		Ausländer ; Kamera		DE-Po75
Die Bohrmaschine summte wie immer	Uta Vollrath			Potsdam			1994	16mm	413m		Alte Menschen	DE-Po75
Ich stand am Fenster und dachte nichts	Hoàng Minh Đức	Kameraübung		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	[1988]	16mm	50m	Dokumentarfilm		DE-Po75
Karteikarte verrutscht	Anastasia Belova	Regie		Potsdam		Film gruppe Berlin-Mitte ; Audiovisuelle Werkstatt Frankfurt Oder	1989	16mm	1207m	Varieté ; Kulturpolitik ; Bildende Kunst		DE-Po75
Kaffeetassen voller Geheimnisse	Pham Duc Thanh	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1989			Dokumentarfilm	Schulalltag in der DDR ; Werder ; Afrika	DE-Po75
1989 – Im Regen vor der Mauer	Hoang Minh Tuan	Kamera	Kameraübung	Potsdam		Filmgruppe Berlin-Mitte	1989	VHS		Spielfilm		DE-Po75
Dein Name war schwer auszusprechen	Anastasia Belova	Regie	Hauptprüfungsfilm	Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1985	16mm	185m		Braunkohle ; Deutsche Reichsbahn ; politische Lieder ; Potsdam ; Lehrfilm	DE-Po75
Zugang verweigert – Erfurt	Jörg Pätzold	Regie	Filmübung	Potsdam			1998					DE-Po75
Ein Tag, den keiner zählt	Markus Weiland		Diplomfilm	Potsdam			1994	Video		Spielfilm		DE-Po75
Zwischen Bier und Betriebsversammlung	Marika Oertel	Kamera		Potsdam			[1988]	16mm	250m			DE-Po75
<<Die>> Topographie der ungeweinten Freudentränen	Reiner Schultze	Kameraübung	Kameraübung	Potsdam			1988	U-matic				DE-Po75
Ein Streik im Spätherbst	Norina Tietmeyer	Regie	F1	Potsdam		Filmgruppe Berlin-Mitte	1994	Betacam SP				DE-Po75
Der Gedanke, der blieb		Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1995	16mm	631m	Jugendliche		DE-Po75
Wo Kartoffeln noch getauscht wurden	Fritz Gärtner	Regie		Potsdam			1998	35mm	291m	Spielfilm		DE-Po75
Die Minuten vor dem 9. November	Heidemarie Kettner		Hauptprüfungsfilm	Potsdam			1986	16mm		Dokumentarfilm ; Kinderprogramm ; Livesendungen	Volksfest ; Kindererziehung ; Tradition	DE-Po75
Eisige Stille	Birgit Hohmann	Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; lichtbild Arbeits gemeinschaft Griebnitzsee	1999	Betacam SP		Spielfilm ; Frauen		DE-Po75
Die Zange lag im Schrank		Regie		Potsdam			1999	35mm	109m	Spielfilm		DE-Po75
Im Rausch der Geschwindigkeit – Erfurt	Reiner Schultze	Regie		Potsdam			1990	VHS				DE-Po75
<<Die>> Sprache des Sturms	Olga Jürgens	Regie	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Atelier für Dokumentar-Film Babelsberg	1988	16mm				DE-Po75
Die Kartographie des Schweigens	Alexander Hoffmann	Regie		Potsdam		Filmgruppe Berlin-Mitte	1986	16mm	413m		Jugend DDR	DE-Po75
Als du noch hier warst	Jochen Schade			Potsdam			1997	16mm	39m	Dokumentarfilm	nonverbal ; Zwangsprostitution	DE-Po75
Sitzung verschoben	Laura Richter	Regie		Potsdam			1996	16mm	40m			DE-Po75
<<Der>> Staub erinnerte sich zuerst	Erika Falk	Kameraübung	F3	Potsdam			1987	16mm	1100m	Dokumentarfilm ; Krieg		DE-Po75
Wir standen im gleichen Flur		Regie		Potsdam			1989	35mm				DE-Po75
Anlage A fehlt	Traudel Risse	Regie		Potsdam			[1997]	16mm	372m			DE-Po75
„In der Ruhe liegt die Kraft“ – Rostock	Chantal-Stefanie Krause	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg	1994	35mm	1238m	Spielfilm		DE-Po75
Die Farbe des Vergessens	Bertram Abt	Regie	F2	Potsdam			1998	35mm	37m			DE-Po75
Goldene Zeiten in Karl‑Marx‑Stadt – 1987	Uta Vollrath			Potsdam		Atelier für Dokumentarfilm Babelsberg	1994	Betacam		Spielfilm		DE-Po75
<<Ein>> Muster aus Schweigen	Tina Bongartz			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1989	16mm	43m	Bühneninszenierung		DE-Po75
Uhrzeit bitte selbst schätzen	Jochen Schade	Regie		Potsdam			1996	Super 16mm	69m	Spielfilm ; Satire		DE-Po75
Der Tag, als das Bild fiel	Inge Hoffmann	Regie	F1	Potsdam		Atelier für Dokumentarfilm Babelsberg	1997	35mm	916m	Spielfilm		DE-Po75
Schwelle		Regie	F1	Potsdam			1992	16mm		Dokumentarspiel		DE-Po75
Vielleicht war’s zu spät	Istvan Papp	Regie		Potsdam			1997	16mm	556m	Dokumentarfilm		DE-Po75
Betreff ungenannt	Fatima Ali	Regie		Potsdam			1987	16mm	55m			DE-Po75
Und alles fühlte sich fremd an	Sabine-Marie Vogel	Regie		Potsdam			[1988]	VHS				DE-Po75
Ich vergaß den Ton	Traute Hoffmann	Moderation		Potsdam			1994	35mm	240m			DE-Po75
Zwischen Westpaket und Wandzeitung	Jens Irmer	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Kollektiv Bild & Ton Potsdam	1985	16mm	47m	Dokumentation ; Dokumentarfilm	Senftenberg . DDR . Frauen . Stellwerk . Häuser . Prenzlauer Berg	DE-Po75
Verziehung	Ute Völker	Regie		Potsdam		Filmgruppe "Berlin-Mitte"	1990	U-matic			Liebesbeziehungen ; verbotene Filme ; Potsdam	DE-Po75
Der Betrieb machte Lärm	Zhou Jing	Regie		Potsdam			1997	16mm	475m	Dokumentarfilm		DE-Po75
Der verlorene Klang der Zweisamkeit	Janosch Büchner			Potsdam		Kollektiv Bild & Ton Potsdam	1987	Digital Betacam		Dokumentarfilm ; Biografischer Film	Gewerkschaft	DE-Po75
<<Ein>> Funken im Nichts	Hoang Minh Tuan			Potsdam			1988	16mm	120m	Dokumentarfilm		DE-Po75
<<Das>> Rätsel der weißen Lilie	Olga Jürgens			Potsdam			1990/91	S-VHS				DE-Po75
Aufbruch in die Ungewissheit – 2002 (Berlin)		Regie	Filmübung	Potsdam			1993	Betacam SP				DE-Po75
Glühwürmchen-Logik	Olga Mielke	Regie	F3	Potsdam			1993	35mm	39m	Dokumentarfilm		DE-Po75
...wo die Wolken tanzen	Zhou Jing	Regie		Potsdam			1999	16mm	72m			DE-Po75
<<Ein>> Tag ohne Wolken	Volker Uhl	Regie		Potsdam			1993	35mm	1601m	Spielfilm ; Kamera ; Juden		DE-Po75
Und ich dich trotzdem suchte	Le Van Khoa	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1999	16mm	130m	Dokumentarfilm		DE-Po75
Zirkel	Merten Oertel	Regie		Potsdam			1998/99	Betacam SP				DE-Po75
Zwischenrufer unbekannt		Regie		Potsdam			1995	16mm	464m			DE-Po75
Die Grammatik der vergessenen Dialekte	Marta Novak	Kamera	F1	Potsdam			1997	35mm	17m	Spielfilm ; Landschaft		DE-Po75
Fertigungsstand fraglich	Ramona Quade	Regie		Potsdam			1997	16mm		Spielfilm		DE-Po75
Am Ende des Zögerns	Anastasia Belova	Regie		Potsdam			1986/87	16mm	66.5m	Dokumentarfilm		DE-Po75
Wenn der Chor nicht mehr singt	Uta Caspari	Kamera		Potsdam			1989	16mm	680m			DE-Po75
Die Schule roch nach Kleister	Wiebke Vollmer	Kameraübung		Potsdam			[1988]	35mm	280m	Spielfilm		DE-Po75
Ein Hauch von Ferne	Li Wei	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Atelier für Dokumentarfilm Babelsberg	1997	16mm	310m			DE-Po75
<<Der>> Klassenrat tagte zum letzten Mal	Bernd Yilmaz	Regie	Kameraübung	Potsdam		Film gruppe Berlin-Mitte	[1988]	U-matic				DE-Po75
<<Die>> letzte Seite des Kalenders	Dietmar Rupprecht		F3	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	VHS		Dokumentarfilm		DE-Po75
Der Tag, als der Strom ausfiel – Wittenberg	Ingeburg Lütke	Kameraübung	F3	Potsdam			1996/97	Betacam SP				DE-Po75
U-Bahn-Träume	Ute Völker	Regie		Potsdam			1992	16mm	60m			DE-Po75
Ein Schritt zu wenig	Uwe Wagner	Regie	Diplomfilm	Potsdam		Filmgruppe "Berlin-Mitte" ; Kollektiv Bild &Ton "Potsdam"	1991	VHS				DE-Po75
Fotografien ohne Rahmen	Tina Bongartz	Regie	TV-Übung	Potsdam			1989	VHS		Dokumentarfilm ; Wende		DE-Po75
<<Der>> Duft der alten Archivkartons	Ludger Diederich	Regie		Potsdam			1990	U-matic				DE-Po75
<<Die>> Leere im Feld	Uta Vollrath	Kamera		Potsdam			1994	VHS		Spielfilm	Spielzeugminenfalle ; Ausgrabungsstätte	DE-Po75
Küche kalt, Wasser warm	Tran Thi Minh	Regie	F2	Potsdam			1998	16mm	197m	Trailer		DE-Po75
Niemand sagte deinen Namen	Bui Thi Mai	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam" ; lichtbild Arbeits gemeinschaft Griebnitzsee	1995	16mm	133m	Animationsfilm ; Werbung		DE-Po75
Die Symmetrie der verlassenen Bahnhofshallen			Lichtübung	Potsdam			1988	16mm		Spielfilm ; Porträtfilm		DE-Po75
<<Die>> Straße der Träume	Hannah Mayer	Regie	Kameraübung	Potsdam			1986	16mm ; 35mm	281m			DE-Po75
<<Der>> Bus kam nie an	Tina Scholl	Kamera		Potsdam			1999-2003	35mm	1395m		Objektanimation . ohne Worte . Straßenbettler . ohne Dialog . no dialogue	DE-Po75
Die Geometrie der Tränen	Li Wei		F1	Potsdam			1995			Dokumentarfilm ; Dokumentarfilm	Musikvideo ; ohne Worte	DE-Po75
<<Die>> Klingel hörte nicht auf	Eckart Hering	Regie	F1	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Kollektiv Bild &Ton "Potsdam"	1999	35mm	583m			DE-Po75
Der Bericht war unvollständig		Regie	Diplomfilm	Potsdam			1995	Betacam SP		Animationsfilm		DE-Po75
Die Maschine lief ohne Pause	Yvonne Zink	Animation					1989	16mm	313m	Videoclip ; Dokumentarfilm		DE-Po75
<<Der>> Klang der Erinnerung	Marta Novak	Buch		Potsdam			1995	16mm	837m	Kamera ; Krankheit		DE-Po75
Niemand kam zur Frühschicht	Gerhild Tietmeyer	Regie		Potsdam			1986	35mm	75m	Dokumentarfilm		DE-Po75
Mein Kollege ging früh	Marlies Nitzsche	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1991	VHS				DE-Po75
Mein Helm lag auf Platz 14	Ottilie Behr	Regie	F3	Potsdam		Atelier für Dokumentarfilm Babelsberg	1996	35mm	14m	Spielfilm ; Thriller		DE-Po75
Am Rand der Klarheit	Wolfhard Yildirim			Potsdam		Filmgruppe Berlin-Mitte	1997	16mm	321m	Spielfilm ; Jugendliche		DE-Po75
Eintrag ins Klassenbuch vergessen	Christian Eberspächer	Produktion	Kameraübung	Potsdam			1989	16mm	50m	Animationsfilm ; Arbeit		DE-Po75
Wo Mauern keine Worte fanden	Gisela Bauer	Regie	Diplomfilm	Potsdam		Film gruppe Berlin-Mitte	1989	16mm				DE-Po75
Als der Strom zurückkam	Merten Oertel	Regie	F1	Potsdam			1997	Betacam SP		Dokumentarfilm	KZ ; Konzentrationslager ; Prostitution	DE-Po75
<<Die>> Presse lief leer	Hildegard-Ingrid Hoppe		Hauptprüfungsfilm	Potsdam			1990	16mm	114m	Dokumentarfilm ; Wende		DE-Po75
Du bist später gegangen	Margot Händel	Regie		Potsdam			1987/88	35mm	1465m	Spielfilm ; Porträtfilm ; Porträtfilm	Bäckerei ; Winterlandschaft ; Griechenland	DE-Po75
Stein und Herz in Leipzig	Volkhard Ewert	Regie		Potsdam			1995	35mm	384m			DE-Po75
Mein Genosse war nie da	Albrecht Becker	Regie	F2	Potsdam			1997	Betacam SP				DE-Po75
Neben den Wegen	Bernd Conradi	Regie		Potsdam		Film gruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	ca. 1995	16mm	186m	Dokumentarfilm		DE-Po75
<<Der>> Geruch des letzten Regenschauers	Almut Bauer	Regie		Potsdam			1997	16mm	157m	Nachrichtensendung		DE-Po75
Es war nichts zu hören, aber vieles war da	Hartmut-Ingo Gehrke	Regie	Diplomfilm	Potsdam			1987			Dokumentarfilm ; Arbeit		DE-Po75
Der Schatten eines Wunsches	Uta Caspari	Regie		Potsdam			1985	16mm	298m	Dokumentarfilm ; Porträtfilm	Häuserfassaden	DE-Po75
Vielleicht ein neues Wort		Regie		Potsdam			1986/87	16mm		Dokumentarfilm ; Arbeit	Berlin . Volksfest DDR . Jugendheim . Jugendwohnheim . Festbräuche . Festumzüge . Fernsehproduktion . Unterhaltungssendung . Liveaufzeichnung . Fernsehunterhaltung . Fernsehsendung	DE-Po75
Papier wurde eingespart	Götz Jürgens	Regie		Potsdam		Filmgruppe "Berlin-Mitte"	1993			Spielfilm		DE-Po75
Der Rauch zog über die Halle	Le Van Khoa	Regie	F2	Potsdam			1996	16mm	20m	Spielfilm ; Komödie ; Komödie ; Parodie		DE-Po75
„Das Leben ist kein Ponyhof“ – Leipzig	Stefan Popov	Kamera		Potsdam			1990	16mm				DE-Po75
Goldene Stunden	Oskar Rothe	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1991	35mm	149m			DE-Po75
Unter dem zerknitterten Himmel	Wolfhard Yildirim	Regie		Potsdam			1993/94	35mm	272m	Dokumentarfilm		DE-Po75
Unruhe	Margot Händel			Potsdam			[1988]	16mm	197m	Dokumentarfilm		DE-Po75
<<Der>> Chor klang müde	Traute Eberspächer	Regie		Potsdam			1985	16mm	123m	Dokumentarfilm		DE-Po75
Das Labyrinth der Gassen – Leipzig		Moderation	Diplomfilm	Potsdam			1994	Betacam				DE-Po75
Vor dem Erwachen		Kamera	Montageübung	Potsdam			1994			Spielfilm ; Architektur		DE-Po75
Der Brief war ohne Briefmarke	Ina-Maria Kästner	Kamera	Montageübung	Potsdam			1992	16mm				DE-Po75
Ein Lied aus Staub	Gisela Bauer	Regie		Potsdam			1985	16mm				DE-Po75
<<Ein>> Kuss aus Asche	Almut Bauer	Regie		Potsdam			1991	16mm	350m	Spielfilm ; Wende		DE-Po75
...und das Meer vergisst	Dietmar Rupprecht	Regie		Potsdam			1996	35mm	355m	Dokumentarfilm		DE-Po75
Glanzzone	Peter Vogler	Regie	Abschlußfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Atelier für Dokumentarfilm Babelsberg	1999	35mm	147m	Spielfilm		DE-Po75
Fremde Gestalten		Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1996	16mm	505m			DE-Po75
Ein Funke aus dem Dunkel – Karl‑Marx‑Stadt	Yasmin Mai		Filmübung	Potsdam			1993/94	16mm	134m			DE-Po75
Kaffeekränzchen mit Geistern	Jörn-Karsten Lichtenberg			Potsdam			1985	16mm	147m	Spielfilm	Pausenfilm . Brandenburger Sraße DDR	DE-Po75
Fahrrad bitte nicht anlehnen	Zoe Färber	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel	1990			Dokumentarfilm		DE-Po75
Beobachtung angeordnet	Katrin Karge	Regie		Potsdam			1989	U-matic		Dokumentarfilm		DE-Po75
Zwischen Pflug und Partei	Volker-Hartmut Weidner			Potsdam			1989	35mm	49.9m			DE-Po75
<<Die>> Farben der Nacht	Le Van Khoa	Kamera	Lichtübung	Potsdam			1993	16mm	110m	Bühneninszenierung		DE-Po75
Der Morgen, der nicht kam	Olga-Brigitte Kühnel			Potsdam			1987			Dokumentarfilm		DE-Po75
<<Die>> Sprache des Windes	Egon Härtel	Regie		Potsdam			1990	16mm	229m			DE-Po75
<<Die>> Worte klangen blechern	Lý Thị Mai		Kameraübung	Potsdam			1996	16mm	48m	Dokumentarfilm	Transvestit	DE-Po75
...wo die Sterne fallen		Regie		Potsdam		Filmgruppe "Berlin-Mitte" ; Filmstudio Babelsberg Ost	1996-2001	16mm	1437m	Werbefilm		DE-Po75
Und trotzdem blieb ich	Elvira Grabow	Kamera		Potsdam			[1988]	16mm	264m	Dokumentarfilm		DE-Po75
<<Die>> Chronik der gebrochenen Flügel		Buch		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Filmstudio Babelsberg Ost	1994	Betacam SP		Spielfilm ; Adaption ; Behinderung	Jugendliche Gewalt	DE-Po75
Und niemand faltete noch das "Neues Deutschland"	Karl-Heinz Möbus	Kameraübung		Potsdam			1987	35mm		Frauen		DE-Po75
Neue Maßnahme nicht umgesetzt	Ulf Tamm	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel	1991	35mm	1100m			DE-Po75
Mein Name stand auf dem Clipboard	Kai Oehme	Kamera		Potsdam			1992	16mm	308m			DE-Po75
Die Lyrik der kaputten Türschlösser	Le Van Anh	Kamera		Potsdam			1989	16mm	221m	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Wenn das Schweigen die Wahrheit enthüllt	Rosemarie Quade	Regie	Kameraübung	Potsdam			1985	16mm				DE-Po75
<<Dem>> Tag entgegen	Yasmin Ziegler	Regie		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Kollektiv Bild &Ton "Potsdam"	1989	16mm		Spielfilm		DE-Po75
Wenn Worte wie Sterne verblassen	Istvan Papp	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Produktionskollektiv Brandenburg/Havel	1995	35mm		Animationsfilm		DE-Po75
Steuerung blockiert	Lars Nürnberg	Regie		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Produktionskollektiv Brandenburg/Havel	1995	16mm	30m		Auswanderung	DE-Po75
Der Ruf der alten Stadt – Potsdam		Regie	Kameraübung	Potsdam			[1985]	16mm		Dokumentarfilm		DE-Po75
Und wir keine Fahne trugen	Yasmin Ziegler	Regie	Hauptprüfungsfilm	Potsdam			1987			Spielfilm ; Porträtfilm ; Arbeit		DE-Po75
<<Ein>> Herz aus Glas	Jürgen-Peter Laux	Regie		Potsdam			1992	S-VHS				DE-Po75
Wenn das Protokoll schweigt	Traudel Risse	Regie	F2	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Audiovisuelle Werkstatt Frankfurt Oder	1999	Betacam SP		Spielfilm		DE-Po75
Das Lied der LPG	Olga Weber	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg	1987					DE-Po75
Die Geometrie der verlorenen Schlüssellöcher		Regie	Vordiplomfilm	Potsdam			1992			Kinder		DE-Po75
Unterschrift nachreichen	Nadja Schürer		Filmübung	Potsdam			1986	16mm	89.6m	Spielfilm ; Liebe	Pferderennbahn	DE-Po75
<<Der>> Fahnenmast war leer	Erik Schmerick			Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1999	35mm	31m		Grenze . Obdachlosigkeit . Mauerfall . Bettler . no dialogue	DE-Po75
Übergang	Hedwig Yilmaz	Regie	Lichtübung	Potsdam			1992	35mm	457m	Spielfilm		DE-Po75
Niemand trat zuerst	Bertram Abt			Potsdam			1999	16mm	336m	Spielfilm ; Thriller	nonverbal . ohne Worte . ohne Sprache . Berlin . ohne Worte	DE-Po75
Einheit war kein Thema	Götz Jürgens	Regie	F1	Potsdam		Atelier für Dokumentar-Film Babelsberg	1994	35mm	170m		Palast der Republik Berlin	DE-Po75
Schneeflocken in der U-Bahn		Regie		Potsdam			1995	Video		Spielfilm ; Puppentrickfilm ; Fahrzeug		DE-Po75
Ich war fast an der richtigen Stelle		Regie		Potsdam			1995	16mm	180m	Biografischer Film		DE-Po75
Der Kompressor lief durch	Paul Finke	Regie	F1	Potsdam		Film gruppe Berlin-Mitte ; Filmstudio Babelsberg Ost	1996	16mm	11m	Spielfilm		DE-Po75
Wenn alles rückwärts fällt	Ulrike-Valerie Wagner	Regie		Potsdam			1998	35mm	113m	Spielfilm ; Episodenfilm	nonverbal	DE-Po75
Grönland	Marlies Nitzsche	Regie	F1	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Audiovisuelle Werkstatt Frankfurt Oder	1992	35mm	176m			DE-Po75
Eintrag ohne Datum	Falko-Jürgen Bärwald	Kamera	Übung	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1993	35mm	244m			DE-Po75
Der Polylux war kaputt	Gerhild Junker	Regie	Lichtübung	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1999	35mm	199m			DE-Po75
<<Der>> Flug der Nachtfalter	Nina Lüdke	Regie		Potsdam			1994	16mm	135m			DE-Po75
Der letzte leise Gedanke	Tim-Walter Groß	Buch		Potsdam			1991	35mm	73m			DE-Po75
Der Lehrer schwieg	Anastasia Belova			Potsdam			1988	16mm	230m	Spielfilm ; "Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Zwischen Ruinen und Neubau – Weimar	Bertram Cremer	Regie		Potsdam			[1996]	35mm	30m	Dokumentarfilm		DE-Po75
<<Das>> Schild war abgefallen	Olga-Brigitte Kühnel	Kamera	F3	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Atelier für Dokumentar-Film Babelsberg	1990					DE-Po75
Ein Versprechen in der Stille der Nacht				Potsdam		Kollektiv Bild und Ton Potsdam ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1989	35mm	260m			DE-Po75
Wenn niemand da war	Karin-Luise Marquardt			Potsdam			1993	16mm	223m			DE-Po75
Pause		Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1990	U-matic		Dokumentarfilm ; Ausländer		DE-Po75
Der Blick in den Spiegel		Regie	Diplomfilm	Potsdam			1995/96	16mm	84m	Dokumentarfilm		DE-Po75
Der Blick aus dem Wohnheim – Leipzig 1986	Wilfried Illner	Regie	Kameraübung	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee ; Kollektiv Bild & Ton Potsdam	1992	16mm	55m	Dokumentarfilm		DE-Po75
Zwischen Korn und Komitee	Stephan Schneider	Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1997	16mm	180m	Trailer ; Thriller	Theaterstück . Museum . ohne Dialog . ohne Sprache	DE-Po75
Mein letzter Appell	Olaf-Pascal Quandel	Regie		Potsdam			1988	16mm				DE-Po75
Das Geheimnis der alten Brücke – Berlin	Wolfhard Yildirim	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1995	16mm				DE-Po75
Ich wartete vergeblich auf Pause	Gerhard Beyer	Regie	F3	Potsdam			1998/99	Betacam SP		Dokumentarfilm	Brandenburg Trailer	DE-Po75
Es klang wie Regen	Hung Pham	Regie	Abschlußfilm	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Atelier für Dokumentar-Film Babelsberg	1993	Betacam SP		Animationsfilm	Studioinszenierung . Einwanderer	DE-Po75
<<Die>> Chronik der zerbrochenen Herzen	Erwin Uhl	Regie		Potsdam		Kollektiv Bild und Ton Potsdam	1999	35mm	405m	Dokumentarfilm		DE-Po75
Rille	Volkmar Zink			Potsdam		Atelier für Dokumentarfilm Babelsberg	1999	16mm	943m			DE-Po75
Tee gab es nur mit Zitrone	Jiri Dvorak	Regie		Potsdam			1998/99	16mm	754m			DE-Po75
<<Die>> Brücke der Träumenden	Wang Li	Regie		Potsdam			1993	S-VHS				DE-Po75
Aktenvermerk ungültig	Ludger Diederich	Idee	Kameraübung	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1992	16mm				DE-Po75
