Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Ich stand am Fenster und dachte nichts	Hoàng Minh Đức	Kameraübung		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1988		false	16mm	50m	Dokumentarfilm																
Karteikarte verrutscht	Anastasia Belova	Regie		Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	16mm	1207m	Varieté	Kulturpolitik	Bildende Kunst														
Kaffeetassen voller Geheimnisse	Pham Duc Thanh	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1989		false			Dokumentarfilm						Schulalltag in der DDR	Werder	Afrika								
1989 – Im Regen vor der Mauer	Hoang Minh Tuan	Kamera	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte		1989		false	VHS		Spielfilm																
Dein Name war schwer auszusprechen	Anastasia Belova	Regie	Hauptprüfungsfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1985		false	16mm	185m							Braunkohle	Deutsche Reichsbahn	politische Lieder	Potsdam	Lehrfilm						
Zugang verweigert – Erfurt	Jörg Pätzold	Regie	Filmübung	Potsdam			1998		false																			
Tag, den keiner zählt, Ein	Markus Weiland		Diplomfilm	Potsdam			1994		false	Video		Spielfilm																
Zwischen Bier und Betriebsversammlung	Marika Oertel	Kamera		Potsdam			1988		false	16mm	250m																	
Topographie der ungeweinten Freudentränen, Die	Reiner Schultze	Kameraübung	Kameraübung	Potsdam			1988		false	U-matic																		
Streik im Spätherbst, Ein	Norina Tietmeyer	Regie	F1	Potsdam	Filmgruppe Berlin-Mitte		1994		false	Betacam SP																		
Gedanke, der blieb, Der		Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1995		false	16mm	631m	Jugendliche																
Wo Kartoffeln noch getauscht wurden	Fritz Gärtner	Regie		Potsdam			1998		false	35mm	291m	Spielfilm																
Minuten vor dem 9. November, Die	Heidemarie Kettner		Hauptprüfungsfilm	Potsdam			1986		false	16mm		Dokumentarfilm	Kinderprogramm	Livesendungen				Volksfest	Kindererziehung	Tradition								
Eisige Stille	Birgit Hohmann	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false	Betacam SP		Spielfilm	Frauen															
Zange lag im Schrank, Die		Regie		Potsdam			1999		false	35mm	109m	Spielfilm																
Im Rausch der Geschwindigkeit – Erfurt	Reiner Schultze	Regie		Potsdam			1990		false	VHS																		
Sprache des Sturms, Die	Olga Jürgens	Regie	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1988		false	16mm																		
Kartographie des Schweigens, Die	Alexander Hoffmann	Regie		Potsdam	Filmgruppe Berlin-Mitte		1986		false	16mm	413m							Jugend DDR										
Als du noch hier warst	Jochen Schade			Potsdam			1997		false	16mm	39m	Dokumentarfilm						nonverbal	Zwangsprostitution									
Sitzung verschoben	Laura Richter	Regie		Potsdam			1996		false	16mm	40m																	
Staub erinnerte sich zuerst, Der	Erika Falk	Kameraübung	F3	Potsdam			1987		false	16mm	1100m	Dokumentarfilm	Krieg															
Wir standen im gleichen Flur		Regie		Potsdam			1989		false	35mm																		
Anlage A fehlt	Traudel Risse	Regie		Potsdam			1997		false	16mm	372m																	
„In der Ruhe liegt die Kraft“ – Rostock	Chantal-Stefanie Krause	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1994		false	35mm	1238m	Spielfilm																
Farbe des Vergessens, Die	Bertram Abt	Regie	F2	Potsdam			1998		false	35mm	37m																	
Goldene Zeiten in Karl‑Marx‑Stadt – 1987	Uta Vollrath			Potsdam	Atelier für Dokumentarfilm Babelsberg		1994		false	Betacam		Spielfilm																
Muster aus Schweigen, Ein	Tina Bongartz			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1989		false	16mm	43m	Bühneninszenierung																
Uhrzeit bitte selbst schätzen	Jochen Schade	Regie		Potsdam			1996		false	Super 16mm	69m	Spielfilm	Satire															
Tag, als das Bild fiel, Der	Inge Hoffmann	Regie	F1	Potsdam	Atelier für Dokumentarfilm Babelsberg		1997		false	35mm	916m	Spielfilm																
Schwelle		Regie	F1	Potsdam			1992		false	16mm		Dokumentarspiel																
Vielleicht war’s zu spät	Istvan Papp	Regie		Potsdam			1997		false	16mm	556m	Dokumentarfilm																
Betreff ungenannt	Fatima Ali	Regie		Potsdam			1987		false	16mm	55m																	
Und alles fühlte sich fremd an	Sabine-Marie Vogel	Regie		Potsdam			1988		false	VHS																		
Ich vergaß den Ton	Traute Hoffmann	Moderation		Potsdam			1994		false	35mm	240m																	
Zwischen Westpaket und Wandzeitung	Jens Irmer	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1985		false	16mm	47m	Dokumentation	Dokumentarfilm					Senftenberg	DDR	Frauen	Stellwerk	Häuser	Prenzlauer Berg					
Verziehung	Ute Völker	Regie		Potsdam	Filmgruppe Berlin-Mitte		1990		false	U-matic								Liebesbeziehungen	verbotene Filme	Potsdam								
Betrieb machte Lärm, Der	Zhou Jing	Regie		Potsdam			1997		false	16mm	475m	Dokumentarfilm																
verlorene Klang der Zweisamkeit, Der	Janosch Büchner			Potsdam	Kollektiv Bild & Ton Potsdam		1987		false	Digital Betacam		Dokumentarfilm	Biografischer Film					Gewerkschaft										
Funken im Nichts, Ein	Hoang Minh Tuan			Potsdam			1988		false	16mm	120m	Dokumentarfilm																
Rätsel der weißen Lilie, Das	Olga Jürgens			Potsdam			1990	1991	false	S-VHS																		
Aufbruch in die Ungewissheit – 2002 (Berlin)		Regie	Filmübung	Potsdam			1993		false	Betacam SP																		
Glühwürmchen-Logik	Olga Mielke	Regie	F3	Potsdam			1993		false	35mm	39m	Dokumentarfilm																
...wo die Wolken tanzen	Zhou Jing	Regie		Potsdam			1999		false	16mm	72m																	
Tag ohne Wolken, Ein	Volker Uhl	Regie		Potsdam			1993		false	35mm	1601m	Spielfilm	Kamera	Juden														
Und ich dich trotzdem suchte	Le Van Khoa	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1999		false	16mm	130m	Dokumentarfilm																
Zirkel	Merten Oertel	Regie		Potsdam			1998	1999	false	Betacam SP																		
Zwischenrufer unbekannt		Regie		Potsdam			1995		false	16mm	464m																	
Grammatik der vergessenen Dialekte, Die	Marta Novak	Kamera	F1	Potsdam			1997		false	35mm	17m	Spielfilm	Landschaft															
Fertigungsstand fraglich	Ramona Quade	Regie		Potsdam			1997		false	16mm		Spielfilm																
Am Ende des Zögerns	Anastasia Belova	Regie		Potsdam			1986	1987	false	16mm	66.5m	Dokumentarfilm																
Wenn der Chor nicht mehr singt	Uta Caspari	Kamera		Potsdam			1989		false	16mm	680m																	
Schule roch nach Kleister, Die	Wiebke Vollmer	Kameraübung		Potsdam			1988		false	35mm	280m	Spielfilm																
Hauch von Ferne, Ein	Li Wei	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1997		false	16mm	310m																	
Klassenrat tagte zum letzten Mal, Der	Bernd Yilmaz	Regie	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte		1988		false	U-matic																		
letzte Seite des Kalenders, Die	Dietmar Rupprecht		F3	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1994		false	VHS		Dokumentarfilm																
Tag, als der Strom ausfiel – Wittenberg, Der	Ingeburg Lütke	Kameraübung	F3	Potsdam			1996	1997	false	Betacam SP																		
U-Bahn-Träume	Ute Völker	Regie		Potsdam			1992		false	16mm	60m																	
Schritt zu wenig, Ein	Uwe Wagner	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1991		false	VHS																		
Fotografien ohne Rahmen	Tina Bongartz	Regie	TV-Übung	Potsdam			1989		false	VHS		Dokumentarfilm	Wende															
Duft der alten Archivkartons, Der	Ludger Diederich	Regie		Potsdam			1990		false	U-matic																		
Leere im Feld, Die	Uta Vollrath	Kamera		Potsdam			1994		false	VHS		Spielfilm						Spielzeugminenfalle	Ausgrabungsstätte									
Küche kalt, Wasser warm	Tran Thi Minh	Regie	F2	Potsdam			1998		false	16mm	197m	Trailer																
Niemand sagte deinen Namen	Bui Thi Mai	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1995		false	16mm	133m	Animationsfilm	Werbung															
Symmetrie der verlassenen Bahnhofshallen, Die			Lichtübung	Potsdam			1988		false	16mm		Spielfilm	Porträtfilm															
Straße der Träume, Die	Hannah Mayer	Regie	Kameraübung	Potsdam			1986		false	16mm ; 35mm	281m																	
Bus kam nie an, Der	Tina Scholl	Kamera		Potsdam			1999	2003	false	35mm	1395m							Objektanimation	ohne Worte	Straßenbettler	ohne Dialog	no dialogue						
Geometrie der Tränen, Die	Li Wei		F1	Potsdam			1995		false			Dokumentarfilm	Dokumentarfilm					Musikvideo	ohne Worte									
Klingel hörte nicht auf, Die	Eckart Hering	Regie	F1	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Kollektiv Bild & Ton Potsdam	1999		false	35mm	583m																	
Bericht war unvollständig, Der		Regie	Diplomfilm	Potsdam			1995		false	Betacam SP		Animationsfilm																
Maschine lief ohne Pause, Die	Yvonne Zink	Animation					1989		false	16mm	313m	Videoclip	Dokumentarfilm															
Klang der Erinnerung, Der	Marta Novak	Buch		Potsdam			1995		false	16mm	837m	Kamera	Krankheit															
Niemand kam zur Frühschicht	Gerhild Tietmeyer	Regie		Potsdam			1986		false	35mm	75m	Dokumentarfilm																
Mein Kollege ging früh	Marlies Nitzsche	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1991		false	VHS																		
Mein Helm lag auf Platz 14	Ottilie Behr	Regie	F3	Potsdam	Atelier für Dokumentarfilm Babelsberg		1996		false	35mm	14m	Spielfilm	Thriller															
Am Rand der Klarheit	Wolfhard Yildirim			Potsdam	Filmgruppe Berlin-Mitte		1997		false	16mm	321m	Spielfilm	Jugendliche															
Eintrag ins Klassenbuch vergessen	Christian Eberspächer	Produktion	Kameraübung	Potsdam			1989		false	16mm	50m	Animationsfilm	Arbeit															
Wo Mauern keine Worte fanden	Gisela Bauer	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte		1989		false	16mm																		
Als der Strom zurückkam	Merten Oertel	Regie	F1	Potsdam			1997		false	Betacam SP		Dokumentarfilm						KZ	Konzentrationslager	Prostitution								
Presse lief leer, Die	Hildegard-Ingrid Hoppe		Hauptprüfungsfilm	Potsdam			1990		false	16mm	114m	Dokumentarfilm	Wende															
Du bist später gegangen	Margot Händel	Regie		Potsdam			1987	1988	false	35mm	1465m	Spielfilm	Porträtfilm	Porträtfilm				Bäckerei	Winterlandschaft	Griechenland								
Stein und Herz in Leipzig	Volkhard Ewert	Regie		Potsdam			1995		false	35mm	384m																	
Mein Genosse war nie da	Albrecht Becker	Regie	F2	Potsdam			1997		false	Betacam SP																		
Neben den Wegen	Bernd Conradi	Regie		Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1995		true	16mm	186m	Dokumentarfilm																
Geruch des letzten Regenschauers, Der	Almut Bauer	Regie		Potsdam			1997		false	16mm	157m	Nachrichtensendung																
Es war nichts zu hören, aber vieles war da	Hartmut-Ingo Gehrke	Regie	Diplomfilm	Potsdam			1987		false			Dokumentarfilm	Arbeit															
Schatten eines Wunsches, Der	Uta Caspari	Regie		Potsdam			1985		false	16mm	298m	Dokumentarfilm	Porträtfilm					Häuserfassaden										
Vielleicht ein neues Wort		Regie		Potsdam			1986	1987	false	16mm		Dokumentarfilm	Arbeit					Berlin	Volksfest DDR	Jugendheim	Jugendwohnheim	Festbräuche	Festumzüge	Fernsehproduktion	Unterhaltungssendung	Liveaufzeichnung	Fernsehunterhaltung	Fernsehsendung
Papier wurde eingespart	Götz Jürgens	Regie		Potsdam	Filmgruppe Berlin-Mitte		1993		false			Spielfilm																
Rauch zog über die Halle, Der	Le Van Khoa	Regie	F2	Potsdam			1996		false	16mm	20m	Spielfilm	Komödie	Komödie	Parodie													
„Das Leben ist kein Ponyhof“ – Leipzig	Stefan Popov	Kamera		Potsdam			1990		false	16mm																		
Goldene Stunden	Oskar Rothe	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1991		false	35mm	149m																	
Unter dem zerknitterten Himmel	Wolfhard Yildirim	Regie		Potsdam			1993	1994	false	35mm	272m	Dokumentarfilm																
Unruhe	Margot Händel			Potsdam			1988		false	16mm	197m	Dokumentarfilm																
Chor klang müde, Der	Traute Eberspächer	Regie		Potsdam			1985		false	16mm	123m	Dokumentarfilm																
Labyrinth der Gassen – Leipzig, Das		Moderation	Diplomfilm	Potsdam			1994		false	Betacam																		
Vor dem Erwachen		Kamera	Montageübung	Potsdam			1994		false			Spielfilm	Architektur															
Brief war ohne Briefmarke, Der	Ina-Maria Kästner	Kamera	Montageübung	Potsdam			1992		false	16mm																		
Lied aus Staub, Ein	Gisela Bauer	Regie		Potsdam			1985		false	16mm																		
Kuss aus Asche, Ein	Almut Bauer	Regie		Potsdam			1991		false	16mm	350m	Spielfilm	Wende															
...und das Meer vergisst	Dietmar Rupprecht	Regie		Potsdam			1996		false	35mm	355m	Dokumentarfilm																
Glanzzone	Peter Vogler	Regie	Abschlußfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1999		false	35mm	147m	Spielfilm																
Fremde Gestalten		Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1996		false	16mm	505m																	
Funke aus dem Dunkel – Karl‑Marx‑Stadt, Ein	Yasmin Mai		Filmübung	Potsdam			1993	1994	false	16mm	134m																	
Kaffeekränzchen mit Geistern	Jörn-Karsten Lichtenberg			Potsdam			1985		false	16mm	147m	Spielfilm						Pausenfilm	Brandenburger Sraße DDR									
Fahrrad bitte nicht anlehnen	Zoe Färber	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel		1990		false			Dokumentarfilm																
Beobachtung angeordnet	Katrin Karge	Regie		Potsdam			1989		false	U-matic		Dokumentarfilm																
Zwischen Pflug und Partei	Volker-Hartmut Weidner			Potsdam			1989		false	35mm	49.9m																	
Farben der Nacht, Die	Le Van Khoa	Kamera	Lichtübung	Potsdam			1993		false	16mm	110m	Bühneninszenierung																
Morgen, der nicht kam, Der	Olga-Brigitte Kühnel			Potsdam			1987		false			Dokumentarfilm																
Sprache des Windes, Die	Egon Härtel	Regie		Potsdam			1990		false	16mm	229m																	
Worte klangen blechern, Die	Lý Thị Mai		Kameraübung	Potsdam			1996		false	16mm	48m	Dokumentarfilm						Transvestit										
...wo die Sterne fallen		Regie		Potsdam	Filmgruppe Berlin-Mitte	Filmstudio Babelsberg Ost	1996	2001	false	16mm	1437m	Werbefilm																
Und trotzdem blieb ich	Elvira Grabow	Kamera		Potsdam			1988		false	16mm	264m	Dokumentarfilm																
Chronik der gebrochenen Flügel, Die		Buch		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Filmstudio Babelsberg Ost	1994		false	Betacam SP		Spielfilm	Adaption	Behinderung				Jugendliche Gewalt										
Und niemand faltete noch das "Neues Deutschland"	Karl-Heinz Möbus	Kameraübung		Potsdam			1987		false	35mm		Frauen																
Neue Maßnahme nicht umgesetzt	Ulf Tamm	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel		1991		false	35mm	1100m																	
Mein Name stand auf dem Clipboard	Kai Oehme	Kamera		Potsdam			1992		false	16mm	308m																	
Lyrik der kaputten Türschlösser, Die	Le Van Anh	Kamera		Potsdam			1989		false	16mm	221m	Hochschule für Film und Fernsehen der DDR "Konrad Wolf"																
Wenn das Schweigen die Wahrheit enthüllt	Rosemarie Quade	Regie	Kameraübung	Potsdam			1985		false	16mm																		
Tag entgegen, Dem	Yasmin Ziegler	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1989		false	16mm		Spielfilm																
Wenn Worte wie Sterne verblassen	Istvan Papp	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Produktionskollektiv Brandenburg/Havel	1995		false	35mm		Animationsfilm																
Steuerung blockiert	Lars Nürnberg	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Produktionskollektiv Brandenburg/Havel	1995		false	16mm	30m							Auswanderung										
Ruf der alten Stadt – Potsdam, Der		Regie	Kameraübung	Potsdam			1985		false	16mm		Dokumentarfilm																
Und wir keine Fahne trugen	Yasmin Ziegler	Regie	Hauptprüfungsfilm	Potsdam			1987		false			Spielfilm	Porträtfilm	Arbeit														
Herz aus Glas, Ein	Jürgen-Peter Laux	Regie		Potsdam			1992		false	S-VHS																		
Wenn das Protokoll schweigt	Traudel Risse	Regie	F2	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Audiovisuelle Werkstatt Frankfurt/Oder	1999		false	Betacam SP		Spielfilm																
Lied der LPG, Das	Olga Weber	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1987		false																			
Geometrie der verlorenen Schlüssellöcher, Die		Regie	Vordiplomfilm	Potsdam			1992		false			Kinder																
Unterschrift nachreichen	Nadja Schürer		Filmübung	Potsdam			1986		false	16mm	89.6m	Spielfilm	Liebe					Pferderennbahn										
Fahnenmast war leer, Der	Erik Schmerick			Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1999		false	35mm	31m							Grenze	Obdachlosigkeit	Mauerfall	Bettler	no dialogue						
Übergang	Hedwig Yilmaz	Regie	Lichtübung	Potsdam			1992		false	35mm	457m	Spielfilm																
Niemand trat zuerst	Bertram Abt			Potsdam			1999		false	16mm	336m	Spielfilm	Thriller					nonverbal	ohne Worte	ohne Sprache	Berlin	ohne Worte						
Einheit war kein Thema	Götz Jürgens	Regie	F1	Potsdam	Atelier für Dokumentarfilm Babelsberg		1994		false	35mm	170m							Palast der Republik Berlin										
Schneeflocken in der U-Bahn		Regie		Potsdam			1995		false	Video		Spielfilm	Puppentrickfilm	Fahrzeug														
Ich war fast an der richtigen Stelle		Regie		Potsdam			1995		false	16mm	180m	Biografischer Film																
Kompressor lief durch, Der	Paul Finke	Regie	F1	Potsdam	Filmgruppe Berlin-Mitte	Filmstudio Babelsberg Ost	1996		false	16mm	11m	Spielfilm																
Wenn alles rückwärts fällt	Ulrike-Valerie Wagner	Regie		Potsdam			1998		false	35mm	113m	Spielfilm	Episodenfilm					nonverbal										
Grönland	Marlies Nitzsche	Regie	F1	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Audiovisuelle Werkstatt Frankfurt/Oder	1992		false	35mm	176m																	
Eintrag ohne Datum	Falko-Jürgen Bärwald	Kamera	Übung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1993		false	35mm	244m																	
Polylux war kaputt, Der	Gerhild Junker	Regie	Lichtübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1999		false	35mm	199m																	
Flug der Nachtfalter, Der	Nina Lüdke	Regie		Potsdam			1994		false	16mm	135m																	
letzte leise Gedanke, Der	Tim-Walter Groß	Buch		Potsdam			1991		false	35mm	73m																	
Lehrer schwieg, Der	Anastasia Belova			Potsdam			1988		false	16mm	230m	Spielfilm	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""															
Zwischen Ruinen und Neubau – Weimar	Bertram Cremer	Regie		Potsdam			1996		false	35mm	30m	Dokumentarfilm																
Schild war abgefallen, Das	Olga-Brigitte Kühnel	Kamera	F3	Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1990		false																			
Versprechen in der Stille der Nacht, Ein				Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	35mm	260m																	
Wenn niemand da war	Karin-Luise Marquardt			Potsdam			1993		false	16mm	223m																	
Pause		Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1990		false	U-matic		Dokumentarfilm	Ausländer															
Blick in den Spiegel, Der		Regie	Diplomfilm	Potsdam			1995	1996	false	16mm	84m	Dokumentarfilm																
Blick aus dem Wohnheim – Leipzig 1986, Der	Wilfried Illner	Regie	Kameraübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Kollektiv Bild & Ton Potsdam	1992		false	16mm	55m	Dokumentarfilm																
Zwischen Korn und Komitee	Stephan Schneider	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1997		false	16mm	180m	Trailer	Thriller					Theaterstück	Museum	ohne Dialog	ohne Sprache							
Mein letzter Appell	Olaf-Pascal Quandel	Regie		Potsdam			1988		false	16mm																		
Geheimnis der alten Brücke – Berlin, Das	Wolfhard Yildirim	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1995		false	16mm																		
Ich wartete vergeblich auf Pause	Gerhard Beyer	Regie	F3	Potsdam			1998	1999	false	Betacam SP		Dokumentarfilm						Brandenburg Trailer										
Es klang wie Regen	Hung Pham	Regie	Abschlußfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1993		false	Betacam SP		Animationsfilm						Studioinszenierung	Einwanderer									
Chronik der zerbrochenen Herzen, Die	Erwin Uhl	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1999		false	35mm	405m	Dokumentarfilm																
Rille	Volkmar Zink			Potsdam	Atelier für Dokumentarfilm Babelsberg		1999		false	16mm	943m																	
Tee gab es nur mit Zitrone	Jiri Dvorak	Regie		Potsdam			1998	1999	false	16mm	754m																	
Brücke der Träumenden, Die	Wang Li	Regie		Potsdam			1993		false	S-VHS																		
Aktenvermerk ungültig	Ludger Diederich	Idee	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1992		false	16mm																		
Flüstern in der Nacht, Ein	Torsten Förster	Regie	Diplomfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Filmstudio Babelsberg Ost	1999		false	16mm	79m																	
Pause verlängert – Grund unbekannt	Le Thi Ngoc	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1985		false	16mm	52m	Fernsehspiel	Frauen	Frauen														
Schweiß roch nach Hoffnung, Der	Anett Bahr	Regie		Potsdam			1999		false	16mm	279m	Animationsfilm																
Weg ohne Rückkehr, Der	Yvonne Zink	Regie		Potsdam			1994		false	Betacam SP		Spielfilm																
Licht im Archiv, Ein	Volker Schade		Diplomfilm	Potsdam			1999		false	16mm	69m																	
Du bliebst noch einen Moment	Tran Van Khanh	Regie		Potsdam			1993		false	Betacam SP		Adaption	Pixilation					Dokumentarfilm mit Spielfilmelementen										
Verhallte Gedanken	Lothar Kessel	Regie		Potsdam			1999		false	16mm	93m																	
Herz aus Frost, Ein	Tran Thi Thao	Regie		Potsdam			1998		false	35mm	128m	Spielfilm	Thriller					ohne Dialog	ohne Worte	ohne Sprache	ohne Dialog	no dialogue						
Wo Träume nach Papier rochen	Tobias Kühnel			Potsdam			1990		false	16mm	607m																	
Abschied, der nach Herzen klingt, Ein	Wiltrud Fuhrmanns			Potsdam			1987		false	16mm	220m	Dokumentarfilm	Arbeit	Kinder														
Kälte des Kombinats, Die	Otmar Rösler	Kamera			Kollektiv Bild & Ton Potsdam		1990		false	16mm	60m	Dokumentarfilm	Adaption	Deutschland <DDR 1949-1990>														
...wo der Himmel weint	Petra-Renate Rupprecht	Kamera		Potsdam			1988		false	16mm		Dokumentarfilm																
Niemand meldete sich freiwillig	Jürgen Uhlig	Regie		Potsdam			1987		false	16mm	68m	Dokumentarfilm	Arbeiterklasse															
Befehl aufgehoben	Ottmar Schade	Kameraübung		Potsdam			1987	1988	false	35mm		Dokumentarfilm																
Auf halbem Weg		Regie		Potsdam			1999		false	35mm	21m	Trailer						Dokumentarfilm Drama	Mauer	ohne Sprache	ohne Dialog	no dialogue	soziale Ungleichheit	ohne Dialog	no dialogue			
Asche und Sternenlicht		Regie	Diplomfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1999		false	Betacam SP		Essayfilm	Science-Fiction-Film	Gastarbeiter	Exil													
Plan überarbeitet	Pham Duc Thanh	Kameraübung		Potsdam			1989		false	16mm	84m	Hochschule für Film und Fernsehen der DDR "Konrad Wolf"																
Ich drehte das Glas in Gedanken	Gert Geisel		F3	Potsdam			1998	1999	false	Betacam SP																		
Moment, in dem es kippte, Der	Yasmin Mai	Kamera	Diplomfilm	Potsdam			1997		false	16mm	430m	Dokumentarfilm																
Ich fand den Schlüssel in meiner Jacke		Regie	TV-Übung	Potsdam	Filmgruppe Berlin-Mitte		1993		false	16mm		Interviewfilm																
Etikett fehlte	York Töpfer	Regie		Potsdam			1993		false	Betacam SP		Spielfilm																
Ablage veraltet	Roswitha Hüfner	Regie		Köln	Audiovisuelle Werkstatt Frankfurt/Oder		1994		false	Betacam SP																		
Es war zu leise für das, was kam		Regie	Kameraübung	Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1989		false			Wende	Jugendliche															
Geheimnis, das im Nebel schwebt, Ein	Ruth Schmidt	Kamera		Potsdam	Kollektiv Bild & Ton Potsdam		1990	1992	false	VHS																		
Pause im Blau	Torsten Tamm	Regie		Potsdam			1992		false	35mm	359m																	
letzte Brücke, Die	Ingbert Gräser	Regie	Diplomfilm	Potsdam			1987		false	16mm	225m																	
Als das Telefon noch Wählscheibe hatte	Inge Hoffmann	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte		1995		false	16mm	345m																	
Kein eindeutiger Anfang	Le Thi Thu	Regie	Diplomfilm	Potsdam			1996	1997	false	16mm	55m							nonverbal	Altenheim	Pflegeheim	ohne Worte	ohne Sprache	ohne Worte	no dialogue				
Bruch	Tommy Bauer	Regie	Kameraübung	Potsdam			1986		false	16mm	513m	Adaption																
Letzte Zeile: "vielleicht"	Zhang Mei	Regie	Animation	Potsdam			1997		false	16mm	113m	Animationsfilm	Homosexualität															
Aufzeichnung unvollständig	Arno Benthin	Regie		Potsdam	Filmstudio Babelsberg Ost		1991		false	16mm	190m	Adaption																
Salz auf der Haut	Olga Oertel	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1998		false	35mm	112m																	
Gedanken hinter Glas	Layla Mansour	Regie	TV-Übung	Potsdam			1993	1994	false	S-VHS								Berlin	ohne Worte	UFA	ohne Dialog	no dialogue						
Funke, der den Tag erhellt, Ein			F3	Potsdam			1995		false	Betacam		Animationsfilm	Werbung	Sexualität	Spielfilm	Gewalt	Wende											
Niemand wusste, wer der Vierte war	York Töpfer			Potsdam			1992		false			Kamera																
Stimmen im Nebel	Patrick-Stefan Krauß	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1994		false	16mm	329m																	
Fleck auf Seite 4		Kamera		Potsdam			1988		false	16mm		Dokumentarfilm	Puppentrickfilm															
